gene_identifier,n_cells
Cldn4,54
Zbtb38,56
Oas3,45
Sh2d7,57
Prdm15,67
Cdc20,63
Ckap5,63
Pms1,47
Dnajc7,58
Adam19,53
Greb1,55
Phf20,55
Bcl3,55
Slc22a19,43
Fam19a4,55
Elf2,52
Rhov,65
Mbtps2,53
Adh7,62
Efna1,61
Lrig3,53
Tmem167,55
Gucy1b3,68
Mprip,70
Ube4a,65
Lrp3,65
Fgd5,62
Slc2a1,68
Mlph,54
Tmem214,65
Kif26a,65
Mpped1,67
Ric8b,50
Ptpn9,64
Slc35f2,56
Tbrg1,67
Timp4,61
Cmklr1,43
Erlec1,61
Dlg3,63
Usp29,59
Aox2,62
Nlrp12,53
Atg5,59
Med9,59
Gck,59
Smim1,49
Leo1,64
Scn1a,55
Pacrg,61
Islr2,59
Chd1,63
Gpr39,56
Rce1,50
Ctsz,64
Fank1,61
X4930529c04rik,56
Ust,60
Zfp597,63
Prdm13,45
Phf12,66
Slc38a7,59
Xkr8,59
Bckdha,64
Dsc2,57
Kras,63
Pitpnm3,65
Pacs2,63
Ttc25,62
Ppargc1b,66
Rngtt,59
Mvk,60
Scaf11,57
Atr,63
Parp16,60
Rtf1,58
Megf11,55
Irf7,60
Cyb561,62
Dchs1,59
Coasy,65
Dtl,57
Nutf2,65
Rrnad1,55
Ano5,63
Zbtb21,59
Pip5k1c,68
Slitrk4,55
Bmp1,63
Plch1,58
Dmxl2,60
Tbr1,65
Zscan22,57
Tmem163,57
Parp14,49
Arhgef10,63
Pcyt1a,59
Gpbp1,51
Sptb,69
Baiap3,64
Dpy19l4,49
Fzd3,57
Prkag3,58
Nfkb1,66
Abcf3,59
Kcnj8,55
Trpv6,43
Os9,68
Mcm9,59
Vwa7,54
Prdm1,53
Afap1l1,60
Akap1,64
Hepacam,64
Hps4,67
Emc3,67
Syt17,61
Wnt10a,47
Pfkfb1,63
Kmt2d,66
Tmprss11f,63
Zc3h7b,59
Usp51,63
Socs6,64
Adap2,49
Fgfr1op,51
Actr1b,71
Sema6d,68
Atg7,63
Zfp668,66
Pou2f2,57
Pde7a,61
Magi1,63
Cdh18,57
Mxi1,64
Fkbp5,53
Mgat5b,63
Krt24,48
Aph1a,62
Plag1,59
Med15,65
Fam84a,53
Ccr2,46
Sox17,52
Adam11,64
R3hdm2,67
Gss,60
Crtc3,58
Klhl1,55
Otud1,64
Pnpla6,56
Prdm12,63
Tanc1,61
Dgkh,62
Ncoa5,52
Gcc1,64
Bysl,56
Cdh10,55
Mmp17,67
Abt1,63
Tnfrsf11b,51
Sft2d2,61
Lamc2,57
Adam10,60
Pigk,68
Bpifb4,51
Vwa3a,45
Tpcn1,65
Fgd1,57
Trim67,60
Mark4,67
Zfp629,51
Shoc2,63
Pex5,68
Gpatch8,63
Top3b,58
Ttc12,57
Ercc6,65
Zc3h12d,64
Dnah10,58
Ccdc114,55
Kpnb1,66
Kif18a,57
Tmed7,49
Ufm1,65
Nmrk2,39
Slc26a2,52
Rpa1,66
Nacc2,65
Pabpc4l,63
Btbd11,53
Cd22,55
Otof,60
Wfikkn1,59
Rab31,63
M1ap,43
Cdc42ep1,57
Rragd,62
Pcid2,64
Hoxd9,53
Gls2,69
Lonrf1,57
Pkhd1,55
Lama3,56
Nlrc4,55
Pelp1,66
Stk32c,65
Saa4,49
Ppm1k,60
Sema3a,47
Zcchc6,67
Slc9a4,52
Cnn1,56
Satb1,62
Gca,50
Pds5b,58
Fbxo4,45
Spats2,60
Hspa4,62
Tek,57
Sash3,41
Slc22a14,54
Abi3,64
Aoc1,50
Ipmk,46
Zbtb2,59
Cbln2,53
Unc79,65
Stxbp5,65
Mcm5,55
Dnal1,58
St6galnac2,51
Mamld1,62
Rtl1,52
S1pr4,56
Serpina10,47
Grin1,67
Prrx1,57
Mrrf,62
Wdsub1,65
Abca2,69
Anks6,62
Zmpste24,46
Ccdc57,57
Rexo4,61
Riok3,58
Ddhd2,63
Cdk5rap1,63
Adam30,48
Smarcad1,60
Stc1,66
Nepn,49
Dph1,48
Gbx2,45
Zmynd11,69
Kdm4c,63
Ext1,65
Ncoa6,67
Ribc1,41
Bnip3l,65
Nktr,64
Clspn,59
Cacna1a,64
Ctcfl,62
Nkx6.3,60
Thoc5,62
Srpk3,43
Dcakd,67
Zfand3,60
Slc2a9,43
Nptx2,61
Dgcr14,61
Slc4a8,67
Lhfp,67
Slc4a5,41
Insm2,49
Cyp21a1,56
Fam13c,67
Slc2a2,44
Arhgap19,59
Ccdc40,52
Inpp1,63
Pcdh11x,59
Ppp1r37,68
Bend3,60
Hnf1a,42
Ptar1,67
Tdrd5,52
Alms1,54
Gcm1,46
Col12a1,57
Calcrl,52
Mcf2,51
Klhl12,53
Oaz2,69
Ece1,65
Susd1,57
Arid4b,50
Per2,59
Ttll11,63
Srsf6,63
Dcaf10,46
Arfgap2,62
Mars2,52
Ikzf4,59
Acer1,51
Drosha,68
Htr5b,59
E4f1,60
Pbx3,58
Syndig1,59
Ppp1r12a,67
Pik3ap1,64
Nfe2,60
Rorb,55
Xcr1,56
Arhgap40,44
Imp4,61
Golim4,57
Dgkb,59
Ccdc97,62
Bbs10,64
Cdh12,60
Corin,46
Cdc27,58
Pnmal1,67
Klf1,64
Ruvbl1,62
Dock1,52
Morc2a,62
Kcns3,54
Sun1,65
Vangl2,66
Sptlc3,53
Sox7,56
Kcnu1,51
Ptprg,50
Mum1,64
Tmem43,62
Rprd1b,49
Lin54,54
Proser1,58
Slc2a6,54
Npy2r,52
Mtdh,64
Cntn4,59
Akap12,62
Shq1,59
Ctps2,49
Sco1,62
Samd11,49
Brpf1,63
Trove2,48
Abcb8,66
Slc16a14,53
Fads2,64
Pkp4,60
Tmco4,54
Trpa1,61
Flt4,54
Wasf3,67
Itga7,59
Tcf7l1,58
Arap2,51
Xk,52
Rab37,49
Rad54l2,65
Zfp804a,57
Bcl2,61
Pgd,63
Mast4,63
Skiv2l,63
Acot11,66
Morn1,63
Reep1,59
Them6,68
Pla2g4e,58
Asap1,64
Myh14,59
Elovl7,60
Gpr62,64
Rnf40,62
Rlim,50
Map3k5,63
Tmem232,49
Gpa33,58
Vprbp,56
Ago4,56
Zfp777,61
Slc43a3,51
Klf14,51
Lct,63
Mpnd,70
St3gal3,57
Pld4,53
Znrf1,58
Chaf1a,59
Dffb,65
Crybg3,62
Phrf1,65
Ano1,55
Ubqln4,64
Il34,59
Ash1l,58
Dusp11,53
Cav1,60
Cd248,61
Aph1b,60
Pkhd1l1,61
Rpgrip1,53
Arsk,51
Trim25,55
Slc16a6,54
X4931408d14rik,55
Fgf1,63
Yars,68
Pla2g4c,62
Lepr,46
Ermp1,45
Agtr2,64
Mgat2,67
Sdhaf2,60
Smpdl3a,56
Dkk1,51
Tpk1,61
Tbl1xr1,62
Slc36a1,61
Fam104a,57
Ddc,41
B4galt6,59
Cdh11,61
Rspo4,54
Srd5a3,59
St8sia6,53
Hic2,53
Ttyh2,67
Kif11,51
Mns1,60
Nup214,63
Fn3krp,60
Ankrd13c,45
Akap6,68
Sos2,58
Gapvd1,66
Arpc4,65
Susd2,60
Nfkbiz,57
Clec14a,60
Kcnh4,64
Bcorl1,61
Hnf1b,52
Mid1ip1,67
Atp6v0e2,69
Arhgef6,49
Cdc5l,59
Slc38a8,60
Lgr4,58
Zfp322a,60
Rin3,61
Tspyl2,66
Casc3,66
Adamts13,52
Mettl14,66
Dalrd3,64
Clk2,64
Rnf103,61
Pirt,47
Kcnv2,46
Fanci,48
Tmco6,64
Rnf152,56
Inpp5f,63
Trak1,68
Oas1c,53
Nav3,66
Diras2,65
Slc30a5,62
Plxnb1,62
Flrt2,65
Cep78,51
Kcnj1,45
Zc4h2,57
Unc13d,61
Plxnd1,64
Orc5,61
Papd7,65
Hectd1,65
Prps1l1,55
Dagla,67
Krt26,59
Slc25a24,60
Kctd18,50
Kat6b,62
Ikzf2,53
Gtpbp3,62
Fbn1,54
Il17re,42
Alpl,52
Pml,47
Cpsf2,61
Gjd2,53
Samm50,70
Tmem161a,64
Ep400,61
Enox1,56
Nptxr,69
Cactin,64
Yif1a,64
Tbk1,63
Mag,64
Polr2a,66
Rapgefl1,63
Kmt2b,64
Armc6,59
Slc16a1,64
Vps13d,66
Boc,64
Slc45a4,56
Spcs2,45
Zfp395,59
Uap1l1,55
Slu7,53
Wwc2,68
Treml4,51
Htr4,55
Bend7,65
Aplp2,69
Prpf4b,64
Pde1c,46
Txndc9,46
Eif5a2,60
Kcnj4,67
Rprm,67
B930025p03rik,60
Tmc1,57
Ssbp3,62
Abca12,41
Tcte1,58
Cdkn1a,56
Phf20l1,63
Bdnf,50
Ehd1,61
Nuak1,63
Dnlz,66
Phkb,57
Tbc1d8,61
Grm4,62
Lrfn5,62
Cpa4,58
Klhl4,46
Raver1,64
Slc1a4,64
Tinf2,56
Pigg,63
Cyp19a1,53
Phf11d,57
Tmem177,62
Doxl2,58
Adamts15,55
Cpne9,64
Usp14,57
Sipa1l3,66
Trim29,50
Ptcd1,65
Tnik,66
Git2,62
Slc8b1,63
Kcng4,56
Med24,66
Fgf10,56
Nxn,53
Pgap1,52
Scaf4,58
Garnl3,63
Frk,58
Tmem87a,54
Galntl6,45
Dpp10,61
Smc2,45
Nhlrc3,55
Dennd4b,62
Brox,48
Flii,68
Abca9,58
Map3k7cl,58
Smad5,55
Rel,62
Tbxas1,50
Reln,61
Osr1,52
Irgm2,49
Cplx1,69
Lair1,55
Sstr5,55
Wdr91,66
Tmem161b,59
Cluh,65
Abcg4,63
Ykt6,64
Etv5,64
Orc2,61
Slc3a2,71
Ckap4,61
Dnm1l,62
Fsd1,67
Acsbg1,68
Smc5,60
Erbb3,60
Mknk1,59
Klf15,64
Zfp780b,55
Pdyn,58
Tmem154,54
Nox4,56
Eml5,50
Epha8,54
Gars,62
Myoc,47
Ccdc141,55
Phtf2,59
Sox18,63
Upk1a,52
Ttll4,57
Pgm1,62
Slc13a1,53
Hipk4,57
Ctsa,60
Gpt,64
B3galt4,59
Rdh12,57
Wwp2,61
Kif19a,59
Trim65,53
Star,53
Cryz,58
Cysltr1,55
Tmem151a,64
Stoml1,64
Dennd4a,57
Abca8b,51
Cdh13,67
Psmd8,66
Mpdz,55
Wbp2,71
Fam129b,64
Ccr10,61
Tpst1,59
Trh,54
Rhoj,51
Manea,60
Mapk12,55
Sema4f,65
Tstd2,52
Plbd1,56
Hspg2,54
Usp6nl,65
S1pr1,67
Cd8a,47
Pla2g2d,62
Ythdc2,61
Casd1,67
Cers6,53
Rab30,55
Relb,56
Tlr5,62
Umod,52
Mcm8,54
Col16a1,55
Crbn,58
Zfp280d,55
Rabl6,68
Adgb,52
Plcb4,65
Mmp2,51
Sox5,57
Dact3,63
Gabrp,52
Strap,60
Maff,53
Cacna1s,54
Alg8,45
Srek1,61
Txndc2,62
Fam184b,59
Sertad3,44
Tpd52l2,51
Slco3a1,63
Mmp20,52
Mapkbp1,67
Gpr19,60
Lims2,49
Dnaic1,52
Slc25a13,58
Kiss1r,45
Gpaa1,54
Kpna4,63
Tti1,59
Enah,56
Adar,63
Vstm5,61
Kctd12b,41
Cnppd1,55
Ccrl2,61
Clk3,68
Det1,48
Pnpla2,57
Vps54,47
Nfatc1,57
P2ry2,53
Blnk,54
Las1l,49
Klf12,52
Appbp2,60
Dyrk3,60
Smc1b,59
Polr3b,53
L2hgdh,57
Sgsm2,59
Ano3,54
Hnf4a,60
Parp12,63
Dio1,49
Reck,66
Sergef,63
Klf11,61
Ackr4,59
Rnf214,64
Slc12a3,58
Plekhm3,61
Desi1,69
Olfr613,39
Tram1,56
Dscr3,59
Wnt9a,64
Trim15,46
Slx1b,52
Pgr15l,60
Myog,54
Rfx3,51
Ostm1,63
Igf2os,51
Fam114a1,49
Tlk1,64
B3gnt8,58
Pnpla3,53
Greb1l,46
Zswim6,46
Mcat,61
Necab3,63
Ddx52,50
Fbxl12,65
Zmiz1,68
Card14,53
Fam19a2,56
Kifc2,67
Psen1,54
Nars2,54
Mtmr1,50
Cap2,65
Spata18,49
Col4a3,55
Fasn,70
Cntn6,56
Stil,53
Zfp831,63
Hs3st1,67
Ofd1,63
Cyb5r2,47
Dram1,60
Usp40,45
Bhlhe40,64
Itgb6,61
Fbxl8,51
Tmem119,61
Gpr137b,57
Ptcd3,61
Adam1a,59
Oprl1,63
Ccl28,48
Adamts10,65
Harbi1,55
Nyap1,65
Mlst8,62
Tbc1d14,66
Slc22a7,55
Hs3st3b1,45
Zfp664,67
Treh,60
Klhdc8b,68
Prcp,45
Nkapl,51
Dclre1a,48
Chrna4,57
Hps5,63
Trim3,68
Itpkb,52
Serf2,60
Prickle3,59
Paip2b,57
Gpc4,59
Lix1,67
Usp44,60
Osbpl11,61
Prpf40a,37
X1700022a21rik,53
Cab39l,57
Npas1,53
Acox1,66
Mex3c,48
Lrrc4b,70
Rasal2,67
Riok1,50
Atp8b2,65
Erf,67
Gphn,64
Usp36,60
Inpp4a,69
Rbp1,61
Fam71e2,60
Fmo5,50
Obscn,58
Pgbd1,59
Eppk1,58
Limd2,63
Grk1,58
Mat1a,60
Srp72,41
Gm16130,54
Fam220a,67
Ubap1,68
Eif4b,68
Ltn1,62
Arsa,60
Hook2,64
Mrps25,57
Plscr4,43
Nmur1,47
Vcl,61
Ifngr2,61
Oxsm,63
Slitrk2,52
Dph2,48
Pdzrn3,63
Slc27a4,68
Myh10,67
Hs3st3a1,61
Cul2,65
Mtbp,53
Nxph3,57
Zfp248,51
Usp27x,61
Arhgef5,51
Wnk3,63
Trpv4,58
Sp9,58
Scn4a,53
Glipr2,50
Herc4,58
Tmem132e,52
Slit1,54
Lrrc71,39
Vsx1,53
Rapgef3,58
Slc37a2,47
Tbkbp1,65
Galnt3,54
Eif6,64
Tat,51
Slc24a1,50
Disp1,51
Ahrr,56
Slc25a12,68
Slc43a1,58
Lzts3,61
Tk2,63
Kif4,56
Slitrk6,57
Jph2,52
Ctns,59
Pigb,58
Acadm,66
Igf2r,64
Mtfr1l,67
Arl15,50
Cast,52
Stk32b,58
Mrs2,60
Nmt2,57
Tmem174,54
Runx1t1,57
Rab32,52
Mbd4,54
Arhgap36,51
Add3,64
Rrad,49
Grpel2,38
Ado,62
Kif7,55
Arhgap20,67
Strc,50
Ptgfrn,63
Ptgs2,53
Tjap1,64
Tmbim1,62
Nras,60
Palm,70
Htatsf1,59
Gpr37l1,70
Zfp553,61
Robo2,61
Brpf3,62
Lman2,58
Magel2,56
Zfp142,40
Zscan21,62
Hspa4l,64
Tsix,49
Tiam1,68
Trub2,55
Zfp318,61
Zfp282,62
Pcx,66
Lhx5,47
Evc,55
Slc6a19,57
Zfp106,66
Slc26a4,53
Vps11,66
Zfp488,42
Smarcd2,65
Zw10,49
Ptges,53
Stxbp1,68
Ldhd,58
Plekha2,52
Fam84b,48
Adam1b,56
Ubap2l,57
Cnnm1,62
Kctd21,63
Egfem1,62
Arhgap42,46
Tmprss11a,63
Tbc1d2,59
Stambp,63
Plekhg3,57
Ticam2,51
Sec23ip,44
Pabpc2,40
Hey1,59
Scn3a,58
Usp20,65
Gdap1l1,64
Sspn,52
Usp47,52
Hdac3,67
Aff4,68
Parp6,67
Shank3,68
Fam214a,64
Creb3,66
Plcg1,68
Efhd2,70
Krt73,47
Tshz1,61
Ccdc15,52
Ncs1,70
Reep3,49
Tnpo1,57
Exoc3,62
Nubp1,57
Fignl1,34
Slc10a7,60
Kit,60
Tmem44,65
Pde1b,66
Ift46,67
Tmem39b,53
Igf2bp2,56
Setd1b,68
Galr1,50
Wac,47
Ugdh,62
Hist2h2be,46
Mmp8,63
Amfr,68
Sptbn2,68
Tmem127,68
Med22,63
Rnf44,60
Fam214b,63
Espnl,56
Ccnjl,48
Etnppl,52
Lrch3,59
Snrk,67
Cd28,48
Tox4,65
Rnf43,46
Mtif3,55
Gid8,62
Themis2,42
Rab7,64
Npy4r,47
Rin1,62
Fam83g,41
Ube2z,63
Impa2,67
Upf2,49
Krt84,57
Tatdn2,62
Ppp1r16a,61
Znhit6,60
Pgbd5,67
Bcar1,68
St6gal1,60
Tmem86a,59
Baiap2l1,45
Acly,69
Mctp1,56
Cyp2f2,57
Csrnp2,64
Tcf3,58
Nr2c2,64
Lpgat1,67
Pnrc2,61
Ak1,68
Nop14,62
Fam83d,45
Fryl,62
Btbd10,66
Mta1,67
Mks1,52
Fbf1,47
Nufip1,58
Zfp418,56
Ctu1,56
Armc1,64
Fam26e,49
Zmym1,57
Peli1,64
Asb6,65
Mfng,62
Zp3r,49
Fam161a,52
Auts2,60
Ist1,65
Patl1,61
Gpc5,63
Mief2,53
Polr3c,55
Smoc1,47
Kif3b,60
Fat1,57
Hyou1,67
G630093k05rik,53
Bmp5,50
Muc2,49
Arhgap29,51
Slc40a1,64
Prss56,55
Slc34a3,52
Cmtr1,66
Tmeff2,58
Tspyl4,67
Zfp317,55
Dll3,55
Apba2,67
Fam19a5,58
Scrib,62
Vps37a,53
Drg2,59
Cbln1,48
Slc35g3,50
Uba1,71
Cdon,43
Csgalnact1,60
Tgm5,55
Col6a5,58
Rad51ap2,52
Kcnmb2,56
Bcam,52
Elavl1,56
Pot1a,60
Zmym4,62
Mum1l1,57
Rab27a,55
Cd300a,57
Tspyl1,68
Tex22,57
Sypl2,61
Mtus1,66
Radil,64
Bod1l,54
Tenm4,63
Dennd6b,48
Traip,56
Prkdc,65
Sorbs3,64
Atxn7l3,67
Plxnb3,63
Ttc9,64
Ptpra,65
Tnfsf10,58
Stpg1,43
Gprin2,59
Cecr2,49
Col10a1,55
Npas3,57
Gtdc1,61
Pak7,61
Flcn,62
Sema3f,59
Sox8,63
Ypel2,63
Crim1,59
Nqo1,63
F13a1,59
Jazf1,60
Cebpa,63
Mob3c,65
Htr1d,62
Mbnl1,63
Bdkrb1,56
Fbxo28,57
Smarca4,68
Kansl2,63
Taf6,65
Shd,64
Ears2,50
Lyg2,54
Ptpn6,57
Nmnat2,68
Ralgapa2,59
Rab3ip,61
Ambra1,67
Ccdc51,57
Zzef1,61
Wars2,51
Zkscan17,52
Nadsyn1,47
Robo4,59
Mef2a,59
Nhlh2,57
Tubgcp3,59
Adat1,58
Cd93,56
Slc4a4,62
Larp4,65
Rab3b,63
Klhl30,61
Rad23b,64
Nusap1,56
Zfp692,54
Nisch,70
Sdr42e1,61
Cdc42bpg,62
Polq,42
Myo5a,67
Slc12a1,61
Lsm14a,63
Soga3,61
Slc13a3,54
Tubgcp2,62
Smg8,61
Ptgs1,45
Sspo,59
Ranbp6,57
Styk1,57
Dvl2,46
Man1a,54
Mir17hg,59
Cpne4,57
Gpr176,64
Cyp1a2,64
Thoc1,53
Krt79,50
Msantd2,49
Il1r1,45
Pamr1,64
Csad,64
Guca1b,60
Cdhr1,46
Itga6,57
Cars,61
F2rl1,45
Prkaa1,62
Ccdc151,51
Polr1a,63
Capn13,57
Atg13,67
Coro1c,68
Tnrc18,68
Arhgap12,50
Maea,64
Cherp,66
Grb14,36
Lrrc49,65
Atp8b5,52
Atp13a4,55
Ggta1,60
Kcnq4,64
Mzf1,55
Nup155,66
Rtbdn,55
Retsat,52
Patl2,56
Mgat3,67
Esrp2,61
A430090l17rik,50
Gm1110,58
Dennd4c,55
Cacna1i,63
Trmt1,64
Zfp652,63
Rnf31,51
Dhcr24,67
Ccdc81,61
Cd300lg,48
Grin2c,67
Evpl,58
Gm7134,60
Adprhl1,61
Slc2a13,59
Cyp2d22,60
Polr3g,59
Slc39a8,43
Klhl24,54
Bpgm,60
Wdr92,52
Ccnt1,60
Pole,54
Myc,52
Ppig,45
Mus81,61
Ugt8a,57
Pes1,61
Sarm1,60
Pim1,62
Fzd7,58
Siae,65
Pla2g4a,65
Atf6b,70
Gm16497,49
Tjp1,66
Homer3,59
Bend4,47
Ndst2,59
Klhl3,61
Kcnj11,61
Galnt7,52
Appl1,61
Fzd6,58
Tfcp2l1,59
B4galnt2,48
Grk6,67
Trim58,58
Sh3tc2,63
Pth1r,57
Marveld1,64
Prob1,53
Apold1,51
Slc39a11,49
Serpinc1,61
Tmem209,47
Zfp704,60
Ddx55,62
Gdf10,62
Insig2,63
Trim24,52
Kdm8,55
Ddx6,64
Ap5m1,54
Wnt10b,52
Oscp1,66
Sox13,54
Tgm4,47
Dr1,65
Krba1,51
Fam185a,61
Elovl2,61
Agtrap,60
Acsf2,53
Dennd1c,52
Zic5,63
Gja8,58
Atf3,54
Trim10,45
Rap2b,55
Spty2d1,57
Itgbl1,58
Lrrc4,67
Myo6,56
Limk1,62
Bard1,57
Ccdc157,65
Sox2,66
Uba6,61
Pkia,66
X4933401b06rik,54
Col5a1,63
Shprh,63
Usp4,61
Fam102a,62
Dusp1,59
Cog3,64
Adrb1,65
Ttc27,56
Ubtd2,60
Pi4kb,63
Msn,48
Gpr50,54
Ajuba,51
Btbd2,68
Dhtkd1,53
Maf,58
Arid5b,58
Cyp7a1,50
Tmc7,59
Irgm1,52
Acp2,65
Acp6,61
Slc7a9,46
Tlr11,57
Prss16,51
Eprs,58
Rbm28,51
Phkg1,60
L3mbtl3,46
Gpsm2,61
Wdfy2,64
Dnah17,56
Pccb,61
Colec10,56
Agap2,69
Wdr77,59
Otop3,55
Psd,68
Iqgap1,58
Col2a1,45
Map4k1,51
Zfp157,56
Immt,65
Pttg1ip,63
Fut4.ps1,62
Zdhhc5,66
Zfp131,57
Ddx3x,50
Spata21,47
Rftn1,51
Galm,45
Stap2,63
Tmc8,59
Xpc,55
Atrip,63
Il22ra1,60
Nucb1,69
Mybpc1,48
Atn1,67
Cbl,55
Nckipsd,63
Ddx51,55
Klhl26,67
Mcu,62
Zp1,61
Csf2ra,44
Col4a6,60
Ccdc112,59
Gbgt1,50
Cep76,62
Brf1,58
Trim23,46
Slc9c1,59
Ppp2r3d,54
Kcna5,52
Tmem101,54
Dnaja4,64
Cdkn2aip,62
Stk39,62
Npy1r,53
Kcnf1,62
Ankrd42,64
Pias4,68
Gna12,71
Cdk18,64
Golph3l,56
Rbbp9,63
Ogfod1,61
Stx6,31
Prdm16,60
Amh,60
Spag9,59
Agpat4,48
Hdac7,53
Tacr3,56
Il21r,53
Dppa2,52
Bpifb2,56
Chst4,56
Akap8,60
Hmces,58
Clasrp,65
Arsj,53
Tpo,55
Zranb3,57
Cnr1,62
Scamp5,68
Fbxo22,60
Max,60
Fmn1,58
Ddx19b,63
Sh2b1,61
Mmp9,57
Slc15a1,62
Senp8,53
Sap18,53
Slc35g1,41
Abhd5,53
Tor1aip1,60
Mtf1,58
Dctd,47
Coa5,56
Sash1,68
E2f6,51
Dnah11,46
Slc9a1,61
P2rx5,49
Pan2,57
Frmd6,58
Rptn,58
Grid1,61
Tm9sf3,59
Thnsl2,50
Vtn,45
Vcan,60
Coq9,71
Rfx1,58
Mettl21a,60
Prpf38b,60
Nrbp1,66
Wdr76,65
Ccdc150,43
Nrl,41
Mtap,50
Enpp1,47
Daam1,47
Myot,55
Ebna1bp2,60
Ccr4,47
Slc22a6,56
Agtr1a,57
Dll4,60
Fndc3a,62
Vps37b,64
Ppp3cc,60
Zfp91,65
Lrp6,59
Tfr2,60
Nqo2,45
Rbbp4,60
Rgp1,59
Strn3,43
Acap2,51
Prss35,62
Sema5a,67
Map3k7,62
Tomm34,67
