cell_label,class
250767885938724955187412297186355769080,05 OB-IMN GABA
26121596100497495759237939680927168381,05 OB-IMN GABA
264127284121149848008620504727829326477,03 OB-CR Glut
267379454204957909064030040488360425932,05 OB-IMN GABA
268465779332376668000888663950626690045,03 OB-CR Glut
273792587927532847994976731807358079013,34 Immune
280527755554450397584106318045856481061,05 OB-IMN GABA
282819825498877947929349186278483222836,05 OB-IMN GABA
289092369682112661784656999816347258111,05 OB-IMN GABA
29793399458596966167923376690599253098,03 OB-CR Glut
299027572224404059047808487787664052534,03 OB-CR Glut
299117363159914236724978553159274653565,05 OB-IMN GABA
304434759883734336205412986953774313550,05 OB-IMN GABA
307380433151446231829288171230293356075,05 OB-IMN GABA
31005769081406168575699573049356288765,05 OB-IMN GABA
312180001168609442058121599785842627678,30 Astro-Epen
317875939018846479007183307461470968077,05 OB-IMN GABA
327040662405951940569772621758520659495,05 OB-IMN GABA
328663951785576938397115099353411818725,30 Astro-Epen
328931176235275739798936265146567186764,05 OB-IMN GABA
330231354830861501166513320005150505466,05 OB-IMN GABA
330415343081925913481459909947539919231,05 OB-IMN GABA
331381866012631985643892905583805429316,30 Astro-Epen
336776444569227424962018021516339732445,05 OB-IMN GABA
34701977018097861087498761042842374340,31 OPC-Oligo
37028798405985044586065016258208759045,34 Immune
38325490031580006986426445928145824716,05 OB-IMN GABA
45486232515070279809135433379412809077,05 OB-IMN GABA
45520264889610751593507667944559997158,05 OB-IMN GABA
52478050430967403483249097004448382668,05 OB-IMN GABA
53477891849664783883785670222687150368,05 OB-IMN GABA
56348483493056060162055943995477214711,05 OB-IMN GABA
58091722602807981876931691912140534025,05 OB-IMN GABA
61952429899559662880238561412292932269,05 OB-IMN GABA
64702841562803445004221737837957732127,05 OB-IMN GABA
69587716033141656247798876100959428558,03 OB-CR Glut
77958077901623112689917435806703132796,03 OB-CR Glut
79586874118783786812123576189175027324,05 OB-IMN GABA
799098845222154802728029584040062387,30 Astro-Epen
83531249311513317603998154737194910315,33 Vascular
85151070298577555702843862380729714271,05 OB-IMN GABA
90847786229891645833057401086388397638,05 OB-IMN GABA
987755780344652180079267433360134817,05 OB-IMN GABA
98870507353306000347962541181186495573,05 OB-IMN GABA
99123379742839405744323183968986761712,05 OB-IMN GABA
120864908712440471589480282902562367076,05 OB-IMN GABA
132669269014832175498795330081098249459,03 OB-CR Glut
142715893986259699853793244152422848084,33 Vascular
144303974697524923711579017050774482267,05 OB-IMN GABA
144444242222805624048760351577963744096,05 OB-IMN GABA
144906880700297112793516141955140838424,03 OB-CR Glut
149313635611769760783315672795307853056,30 Astro-Epen
165621600153093254430153915845073977498,03 OB-CR Glut
168083628176042638023647331228952353702,05 OB-IMN GABA
168472724473103606467061025315144395829,03 OB-CR Glut
178203018172782204015697431438746430788,05 OB-IMN GABA
179692864501300866807975671899817136396,05 OB-IMN GABA
184646090341985536428508633045366502618,05 OB-IMN GABA
187158698427096780306179953918489310052,05 OB-IMN GABA
194067575649834690791776381430472566987,05 OB-IMN GABA
19461769118901202192964607522004840431,03 OB-CR Glut
196142595121800314234171992419479297365,05 OB-IMN GABA
203395899857396197556002230605108234507,05 OB-IMN GABA
21509512443689767139985396492863569066,34 Immune
224376419396452069448921728609049663816,05 OB-IMN GABA
235017368175301453256151725605282576197,33 Vascular
238210555418301165614928293794035010436,05 OB-IMN GABA
242503043098361941290152766144508748888,30 Astro-Epen
247529042956334255612026563047166987010,05 OB-IMN GABA
251312132734259143645101203032869484393,05 OB-IMN GABA
256666071177621859287686450278556580750,05 OB-IMN GABA
267399619317916106074683743358423177472,05 OB-IMN GABA
270298875429004248392357623498531199751,32 OEC
272728243021985911967469311479428992606,05 OB-IMN GABA
274454775348291427759147008234040383904,05 OB-IMN GABA
280926634707161241503541021870245493423,05 OB-IMN GABA
281944504007355939620428899675493708526,05 OB-IMN GABA
28474203259111486133413381786927165816,05 OB-IMN GABA
288749635961734518766304162114571888653,05 OB-IMN GABA
289045041873086540150574189906040583447,05 OB-IMN GABA
291496781247993651277206083435150633447,03 OB-CR Glut
294763569754493791082088014130115652303,05 OB-IMN GABA
299258703592104944559239269997254206879,05 OB-IMN GABA
3173312844993693974408853041071239583,33 Vascular
317626643864387310060761330200255035126,05 OB-IMN GABA
322519055939849940608533475934156310913,05 OB-IMN GABA
327638910814257467896034644909894719859,05 OB-IMN GABA
327853410998480041789480276212223661696,03 OB-CR Glut
328848318485171518186459159053469774335,05 OB-IMN GABA
328849731117975325392963313778025520988,30 Astro-Epen
333475918458568608960284230010109439710,05 OB-IMN GABA
338144121880279543258420693215691651345,05 OB-IMN GABA
39251851732645475433433483898534665857,05 OB-IMN GABA
39956273625070614395319247130715344241,05 OB-IMN GABA
41112617918551834111580997559463078757,30 Astro-Epen
47779571316609711238915250283256401082,05 OB-IMN GABA
53540473277644879463219659656624556264,33 Vascular
70471546993389391193758863622895869339,05 OB-IMN GABA
81452349049892714040668572901380554619,32 OEC
87458498954861052995587550979030435449,05 OB-IMN GABA
91664420677802749091672755413140611910,05 OB-IMN GABA
93779773172297774713796251470458938243,03 OB-CR Glut
94557608221815206925205997186518835000,05 OB-IMN GABA
95560083190043267048740674151162235307,03 OB-CR Glut
187307367609201343176764126301833688313,05 OB-IMN GABA
198279606634823014574658657916477519402,32 OEC
22401942324030650791306132816272035020,32 OEC
255186703545141830633714509175113293098,32 OEC
260080377138701141941262774919559186579,32 OEC
284455391556780790949653861001911644414,32 OEC
310042615738642483812462750260874954983,05 OB-IMN GABA
340893238668814446246594457300203230,32 OEC
56238208209070052503775576870764385054,32 OEC
64783145780332229613439387095244620105,30 Astro-Epen
67748585217460905022622426980274943887,05 OB-IMN GABA
69844807674437092544436261826463681415,30 Astro-Epen
218368834048877951274559709150842853975,32 OEC
265049934628433131691907026638131617799,33 Vascular
294468345566752910569466696243078866200,33 Vascular
55499687016770207926948565089412600436,33 Vascular
100804310375133289975276289114060751494,05 OB-IMN GABA
102435950106050554925783490793509557504,05 OB-IMN GABA
105239394927447827104703462187436329964,05 OB-IMN GABA
117743804165546231865562659389015899863,05 OB-IMN GABA
126514921039921623250232739444452472600,32 OEC
131921527732690678908560637421986757377,32 OEC
13263040633322386221569829732608142010,30 Astro-Epen
14041412570641848273208458761594645779,05 OB-IMN GABA
14679621627762520089760092973772550731,03 OB-CR Glut
149518865005296083897825405092521827643,05 OB-IMN GABA
186289338036882216381855245091940091711,05 OB-IMN GABA
189232648909096252673996496319257685778,03 OB-CR Glut
189644516683579641525828112061683945947,33 Vascular
197245609288636252055153447253953761495,30 Astro-Epen
204212756801510931363906364354513060086,31 OPC-Oligo
208746906319497354973097461400673060803,33 Vascular
211866671387658406144079478356636095351,30 Astro-Epen
214983839656456129068108834856371655008,03 OB-CR Glut
215561437718037100684651676334316024102,30 Astro-Epen
22211262849410036448144897356172276893,05 OB-IMN GABA
223303451762566595551279963885174481940,03 OB-CR Glut
23024829170114700637222590882208364084,05 OB-IMN GABA
230493410092730797998303545418161635193,05 OB-IMN GABA
252982267423001555187349030935466205890,31 OPC-Oligo
259917732261881869411676091815435494855,03 OB-CR Glut
265756147789184159462317805409643633374,05 OB-IMN GABA
273249403962087540368086599163194338824,05 OB-IMN GABA
282437712743264136964244565370671200448,05 OB-IMN GABA
296897837216678583555742723331028127302,32 OEC
310035058526253622057788981089339751574,30 Astro-Epen
314859320563887134743336042278503520323,32 OEC
322752098375764912031436195063253415269,03 OB-CR Glut
323269242614422438535596387495277857947,05 OB-IMN GABA
326291565285085575115720152848910026035,33 Vascular
326706650829889724491843728305680239202,05 OB-IMN GABA
34585190872481110814394622577448527060,05 OB-IMN GABA
41064395626269294170001927098657019315,05 OB-IMN GABA
47459750206601483613406510053042891222,30 Astro-Epen
54248741249832697101830689746754090812,32 OEC
62110818529412357327421179939397822409,05 OB-IMN GABA
77745511128006063609104611542165440246,32 OEC
97888556864645407754119052243922845903,05 OB-IMN GABA
100061833319223557781580787469484001398,05 OB-IMN GABA
101755530251093032317390352437357847417,33 Vascular
102689236413266250041578281070931458108,05 OB-IMN GABA
10821387274081476721434238272553629567,03 OB-CR Glut
119523934655822472975449692869374438662,05 OB-IMN GABA
121282341180299291266298114958913884682,05 OB-IMN GABA
126984063863906846551845927525962903851,05 OB-IMN GABA
127153831634756296791451297321985757849,05 OB-IMN GABA
134912042910715832339592829621869126311,05 OB-IMN GABA
135130142491172852385323451610367888453,34 Immune
136851493907756918882479525939284528458,05 OB-IMN GABA
139324582145585826253569762811716329780,30 Astro-Epen
145421272916012552805128732588955793397,33 Vascular
155234102229015429378215814080097808208,05 OB-IMN GABA
155451189463854958480618452424831344351,33 Vascular
158804242912861155711489299954068776851,05 OB-IMN GABA
159848605578951325339575869015813662667,03 OB-CR Glut
161556936620587545438401552627051836898,31 OPC-Oligo
166366227765042361399361459733814561611,05 OB-IMN GABA
173631673156389386453377711092957145976,05 OB-IMN GABA
174366329323152520103679022552627770682,05 OB-IMN GABA
174693626018498722938556427350480589074,03 OB-CR Glut
179832900989097032744595462148422541238,03 OB-CR Glut
180926184784531789214215301177033357985,30 Astro-Epen
183409251152043313375293465112322946269,05 OB-IMN GABA
184378980928691800698511663262801131446,05 OB-IMN GABA
189110040620327325386685102412260956210,05 OB-IMN GABA
192921214870945867904459820882059404167,05 OB-IMN GABA
199692482623273616040932552222716172856,34 Immune
199881730104225571989248895750508323439,05 OB-IMN GABA
202944275091519558196717905297789353430,05 OB-IMN GABA
204981427050823891200697029976599924674,05 OB-IMN GABA
205234126696788577374242555957299543041,33 Vascular
206792269711765718442497590039170820886,30 Astro-Epen
210596674972675140376839400157382841460,05 OB-IMN GABA
213601095511105843247970714312479381438,05 OB-IMN GABA
216696449815238376199204094366221474993,03 OB-CR Glut
221886942905659744910045946869843190421,05 OB-IMN GABA
225062737038405512832375451904713495752,05 OB-IMN GABA
233778029710336748960990845981984282582,05 OB-IMN GABA
234401158367690270157696054180311688513,05 OB-IMN GABA
235465684875347650484945324405413790957,05 OB-IMN GABA
235813831504990266810188261079018480661,03 OB-CR Glut
237027462990041106568464441751100068545,03 OB-CR Glut
240753168116324444172905031953625658341,03 OB-CR Glut
24122151246474159032637210044269646625,05 OB-IMN GABA
242921915541470366838129455105211507142,05 OB-IMN GABA
245867068715289197793928736060663821692,05 OB-IMN GABA
248001793015844352450484572149076259267,05 OB-IMN GABA
25094144131775778151154058767506676859,03 OB-CR Glut
251278054083891617869608242210745847630,05 OB-IMN GABA
252041854187205184521486626625495824209,30 Astro-Epen
253032619785039469905586335102820037473,05 OB-IMN GABA
256261480600092444340510325062362642565,30 Astro-Epen
257532255657055687646940184664441812276,05 OB-IMN GABA
259175696536053400489539753716628728114,05 OB-IMN GABA
274270551857599757003142646690745500935,05 OB-IMN GABA
281809719036052235591123634969919865159,03 OB-CR Glut
283696964717666810530121389150089349291,03 OB-CR Glut
285935713940288650771993263805865619413,05 OB-IMN GABA
289625547553304315564079379938610529159,05 OB-IMN GABA
292888465857360871151906375288549470255,05 OB-IMN GABA
298858292195291888375698565089384779874,03 OB-CR Glut
299909438646341324919849665214399940892,05 OB-IMN GABA
303177110986006685273679353021797770430,31 OPC-Oligo
306815410698882377221224620044233544993,34 Immune
310986256230974476202914185976883021129,30 Astro-Epen
316297421211840574534574375456956654480,05 OB-IMN GABA
31776356588195836812006863310162601588,05 OB-IMN GABA
321519476172332165526139288250308778790,05 OB-IMN GABA
322268681120121302806506767782076621195,05 OB-IMN GABA
323395997966698422918453385439782991917,05 OB-IMN GABA
329114457475059739201526969653124100142,03 OB-CR Glut
329853674244341533338049481612632588331,33 Vascular
333151071837438725904339146048051370378,05 OB-IMN GABA
337374667004916148978789118964883488351,05 OB-IMN GABA
38004293409657234786868357810648129286,05 OB-IMN GABA
38992215104840350153521274183381332942,30 Astro-Epen
3991580224955545722130659138653592902,05 OB-IMN GABA
44603517140462572055236725145413812069,33 Vascular
4625465699025891867638432511936551838,05 OB-IMN GABA
48341488719908591985369643620461518408,33 Vascular
56026403627117569204843266224576315634,05 OB-IMN GABA
63636330200711538712170136046345216335,03 OB-CR Glut
69970539168961600674810053090332935607,05 OB-IMN GABA
72648348996973024596416487556168388410,05 OB-IMN GABA
73168015606983696973087249719698796309,05 OB-IMN GABA
75255183511459154163968320485774300792,05 OB-IMN GABA
77678300319804907034503400194975365721,34 Immune
80638470610446253835266881351405911400,33 Vascular
82829404941617913480427326717113546858,33 Vascular
93415564233635489169507409247483235772,05 OB-IMN GABA
94767778615607962122006344168962389934,33 Vascular
95676969848386952408443057501265098337,05 OB-IMN GABA
95809144237960202432203537272161713720,33 Vascular
98629024003877022022592577377392318702,03 OB-CR Glut
99155159496130355035279271145452433158,05 OB-IMN GABA
147329010222920057025085917912813772202,31 OPC-Oligo
157546187354736839386438034520760392795,05 OB-IMN GABA
158917612111898047158842949055158825622,05 OB-IMN GABA
167039882836071139045795817815985866062,05 OB-IMN GABA
182649258454456089361192534472740089015,30 Astro-Epen
186030164202132484597921404839122997989,30 Astro-Epen
201979998225353387776588639725859636282,33 Vascular
202638603508781853565624498448407083674,05 OB-IMN GABA
20425370076711205127485924560971944007,30 Astro-Epen
249638006483044332756230279339310946242,05 OB-IMN GABA
251005960903041590154846557004391047014,05 OB-IMN GABA
274864480059977047448186062503307598002,05 OB-IMN GABA
276685924473035514794581391955620816546,33 Vascular
290592216240003849799634113129219206801,34 Immune
311104147453609629850019253016604955172,05 OB-IMN GABA
321299491599018240832686213927212497038,05 OB-IMN GABA
325496187078955459642134343749509795678,30 Astro-Epen
32670903134753809769974780596006794015,30 Astro-Epen
334528658126863473716570977939603463557,30 Astro-Epen
335309420010655280898321882957592530329,05 OB-IMN GABA
33772505665038655949750728999924928944,05 OB-IMN GABA
338938218953220699060355651157367852807,33 Vascular
36247439505988389229389475793549575687,33 Vascular
38082510391918581436714321044533036344,05 OB-IMN GABA
40817713736269166438191142231457562205,05 OB-IMN GABA
45331293848601283644575999267663714070,33 Vascular
53099117269722680942428690443600756994,31 OPC-Oligo
53686612830468657110816792984534260043,05 OB-IMN GABA
54014218466037855388747748304090641312,33 Vascular
55137621470055287650354921830610768577,05 OB-IMN GABA
61441824821012882466014287205942641349,33 Vascular
67214329493505929476304338820560106311,33 Vascular
94186547306394677589746500357134118306,05 OB-IMN GABA
12003635332197464325766958316449393699,05 OB-IMN GABA
123599243871907202444440864959533240383,05 OB-IMN GABA
128827593382765437976229849762510068188,05 OB-IMN GABA
134643707092227586635260378008256907266,05 OB-IMN GABA
138177607542956077393899343471475826393,05 OB-IMN GABA
1420869036656661224104082644940227505,05 OB-IMN GABA
142303834402532277618932235952747846651,05 OB-IMN GABA
144847158405186141862854929985423031740,30 Astro-Epen
145070632905679342371243823032052113284,05 OB-IMN GABA
145785976728489391198039571083013420190,30 Astro-Epen
146035149620432368392399305835934467637,05 OB-IMN GABA
150373361652217579648790849432304439345,05 OB-IMN GABA
157669063780453909826515489227586389361,05 OB-IMN GABA
159681425877358498578365619930075354195,05 OB-IMN GABA
162748940801053975792715962538931980846,05 OB-IMN GABA
164267146586870170908018877698366483644,33 Vascular
175974476602794824201716869914118773168,05 OB-IMN GABA
180740495737705661196266541285659529690,31 OPC-Oligo
187847953682326101408121801300673051441,05 OB-IMN GABA
19170171755467445370835796183813265618,33 Vascular
195146987321684957597504483383171387542,33 Vascular
195280227406594377005069498010799096318,30 Astro-Epen
202486524724206907577380267370430228372,05 OB-IMN GABA
216912381835182271188095176761444161120,05 OB-IMN GABA
218874851344299174223124650276385643537,05 OB-IMN GABA
232246326318374398738922583550811480206,05 OB-IMN GABA
23516981460335253396490241959332126562,05 OB-IMN GABA
237339427594872084013668565191846771118,05 OB-IMN GABA
247127041168838716751795463604097864754,03 OB-CR Glut
254654689513280329339476604234164970050,30 Astro-Epen
255215747691390438942500990452344672421,05 OB-IMN GABA
266601313923784727422951919667120885636,05 OB-IMN GABA
266794246131747667801834682013928107231,05 OB-IMN GABA
28032104360507846329205944658285923686,05 OB-IMN GABA
30272215230913666451588209922504764610,03 OB-CR Glut
303031360895913424858759392436973204929,34 Immune
310118146562261723185252277963829715521,05 OB-IMN GABA
313851529714632252916869049149134134433,05 OB-IMN GABA
325998667850401656501140684589754257300,03 OB-CR Glut
330132083596060020010081905496650613175,34 Immune
36287157047117178777353804032193180656,05 OB-IMN GABA
43417401539478160620084614867465915183,05 OB-IMN GABA
482852196550606015416006211535891372,05 OB-IMN GABA
57987627924734890862225953251918275067,05 OB-IMN GABA
66925292827052828703902855850144236065,03 OB-CR Glut
74144323474841573081151990415941024292,33 Vascular
90811112337914933393977316326113499459,06 CTX-CGE GABA
91220850319094097578224866316262247643,05 OB-IMN GABA
103135135676419453011034057150576294961,30 Astro-Epen
11081038006022716090679302336974500214,33 Vascular
112758719494347335883539128396256210685,05 OB-IMN GABA
113482956194704713535643393132237304308,05 OB-IMN GABA
115774903454525799159908143783615743972,34 Immune
138931908243128748957133856014247199329,05 OB-IMN GABA
139541016451771259134603086328028185068,33 Vascular
141509589930020720383887075502385019430,33 Vascular
150676622056181550394288966348166108853,05 OB-IMN GABA
156906883654091754383859247195909680998,30 Astro-Epen
179760870080831347906083458375066023003,33 Vascular
182761828373555929519942412933035498859,05 OB-IMN GABA
18568426512181660108813636251028217885,05 OB-IMN GABA
191674888872026371515124621265778548248,05 OB-IMN GABA
200840500602439085098657561884997010641,03 OB-CR Glut
20360367425209265003700277804328629521,05 OB-IMN GABA
223645733913282306993160525404260167775,05 OB-IMN GABA
236351373786144129063831185316676892406,03 OB-CR Glut
243426723706217107297167448635979671993,05 OB-IMN GABA
252471996381335948001469303342377280649,33 Vascular
255821606835613101998546866256748202382,33 Vascular
256310609709654858482593386367646526680,30 Astro-Epen
278955722186180843989815013347295576284,05 OB-IMN GABA
292135402387537254131607945305623324601,30 Astro-Epen
298504548983923723746411536281595739514,30 Astro-Epen
330040563140701052189743093374632929559,05 OB-IMN GABA
35260295622056181459789914735122288467,33 Vascular
49253605183775352170095366037858703795,30 Astro-Epen
86323676082826153086535609780103936330,05 OB-IMN GABA
89837375958007463117710624916990977642,34 Immune
90207837071133947378559139273464055640,05 OB-IMN GABA
93300458692197345441987645595435126128,05 OB-IMN GABA
103749717859520883238895847221143611532,05 OB-IMN GABA
112615302641384844157997482310369964633,34 Immune
137510350909235606366793602913734461943,05 OB-IMN GABA
207316235080195082748612887963021713901,05 OB-IMN GABA
238160608471044413285551270980368358634,33 Vascular
274703000272390229987440949537138615604,30 Astro-Epen
277658079022459858111556801355072676235,30 Astro-Epen
31273581290812599115788650728209769437,33 Vascular
37133789465127435472529485291985086335,03 OB-CR Glut
37215729932681226354668938426088538347,03 OB-CR Glut
61300692253764188878346722858515845030,33 Vascular
61338681661164559306239582963189191299,03 OB-CR Glut
67119326059100672896933043675667119976,30 Astro-Epen
68262120051137592586202619787493370720,03 OB-CR Glut
72086484810216375092462872517501445597,30 Astro-Epen
106977756689991955206997583060507046702,30 Astro-Epen
190475306878340092454605115851715916433,03 OB-CR Glut
316207071997083981209340627545925011668,03 OB-CR Glut
130795263565988746760351357666260080958,33 Vascular
135373442043590862526954225006122061215,05 OB-IMN GABA
156174720334172146271246944482286907178,30 Astro-Epen
188380430049449308006637777443678046029,30 Astro-Epen
205945414559235025862954604504229987135,05 OB-IMN GABA
21385469744657828804187534963623441510,29 CB Glut
263851595140817994680419206567107572630,05 OB-IMN GABA
26643249467872967697870556307060844099,03 OB-CR Glut
323887734122573259166609223989099498466,03 OB-CR Glut
334042959529634456783872701069904702812,03 OB-CR Glut
337715930133618814202514884970711634880,05 OB-IMN GABA
111159245160143000162213343186418978261,05 OB-IMN GABA
116448604540058988973191703910932979729,05 OB-IMN GABA
118946772625313235188821607355217232288,05 OB-IMN GABA
159804077475041425562247711593355803400,05 OB-IMN GABA
169001447578092890723659694663659645751,34 Immune
182813759455814260055008739647786783175,30 Astro-Epen
195416894410829532995678958357601406580,33 Vascular
215120753670862820534147105527190158608,05 OB-IMN GABA
229009021711501312748665639527553799318,05 OB-IMN GABA
235136198592390922529158636359764185084,31 OPC-Oligo
235440340339653976132144842041022087655,31 OPC-Oligo
244582596470020198874884183854372819370,05 OB-IMN GABA
258819145691862648945848806967367240690,33 Vascular
260384653011235449259368503859510669913,03 OB-CR Glut
260879598707107595018407807628346504712,33 Vascular
277870074610793001870213396455380978410,03 OB-CR Glut
284282988656619928746391473342264688199,30 Astro-Epen
319921278894300225361416696721988956253,05 OB-IMN GABA
34823549979801591405605039432430347910,05 OB-IMN GABA
39549232192279041517532805407506578384,30 Astro-Epen
57407769213567074993131883614055218105,33 Vascular
6602432198592175321712641898763218540,33 Vascular
71349704027058248986378137268390900494,31 OPC-Oligo
77838587978855291514934012443058690218,30 Astro-Epen
96837046082078253690610129717270174122,30 Astro-Epen
102415116260020442885573105121601313513,05 OB-IMN GABA
104705195459301195528713946131609069514,05 OB-IMN GABA
11168598398306887480243486844804348980,05 OB-IMN GABA
118156402007458500490324159372667284057,05 OB-IMN GABA
119676187521518043357587450826116692700,05 OB-IMN GABA
120986481810631991298344317393324294890,03 OB-CR Glut
125415979065744561153806692248813216128,05 OB-IMN GABA
129124297404411358203886335650982608477,05 OB-IMN GABA
131530341108940756186433069967243479336,05 OB-IMN GABA
131771850900044791151489853612578758833,33 Vascular
145766431182859265020164248359985590295,05 OB-IMN GABA
153578726682591779531170247090324175590,05 OB-IMN GABA
154373018396217836013486091044749333558,33 Vascular
163769486817066801955433463795194492482,03 OB-CR Glut
167282972272773906489583933208827959568,05 OB-IMN GABA
180231863310251371774640497186415758430,33 Vascular
187981081768072853301521365994986636612,30 Astro-Epen
195822845081368812664732319954010286549,31 OPC-Oligo
197485565138131248962810313516906687782,05 OB-IMN GABA
203573083530559966240094396489516105448,03 OB-CR Glut
203905970580338797066081746647459828926,31 OPC-Oligo
225420608338317107197555267127006893547,05 OB-IMN GABA
227063961057633732425781797226566137701,33 Vascular
248414564532621243077251672728775106665,05 OB-IMN GABA
248881505586263593141845072695691249482,05 OB-IMN GABA
249693029956410686132424650217129670008,05 OB-IMN GABA
256491917437609309612912372957816006157,05 OB-IMN GABA
257787276716173533082346274853356023190,33 Vascular
259942582377930345321287634896370696430,05 OB-IMN GABA
267895708651709269192310887625530390829,33 Vascular
272007236445225988529776602029031877760,05 OB-IMN GABA
27513910711251437027432612600925936240,30 Astro-Epen
277799572125270567415641452432607537312,05 OB-IMN GABA
285697352757581006674197465996789377174,05 OB-IMN GABA
